Mean,Std,Metric,Sheet,Year
27.333333333333332,5.507570547286101,Age,standard_stats_2018,2018
11.333333333333334,17.097758137642877,MP,standard_stats_2018,2018
11.333333333333334,17.097758137642877,Starts,standard_stats_2018,2018
1530.0,1781.9090885900998,Min,standard_stats_2018,2018
17.0,19.79898987322333,90s,standard_stats_2018,2018
0.0,0.0,Gls,standard_stats_2018,2018
0.0,0.0,Ast,standard_stats_2018,2018
0.0,0.0,G+A,standard_stats_2018,2018
0.0,0.0,G-PK,standard_stats_2018,2018
0.0,0.0,PK,standard_stats_2018,2018
0.0,0.0,PKatt,standard_stats_2018,2018
1.0,0.0,CrdY,standard_stats_2018,2018
0.0,0.0,CrdR,standard_stats_2018,2018
0.0,0.0,xG,standard_stats_2018,2018
0.0,0.0,npxG,standard_stats_2018,2018
0.15,0.21213203435596426,xAG,standard_stats_2018,2018
0.15,0.21213203435596426,npxG+xAG,standard_stats_2018,2018
0.0,0.0,PrgC,standard_stats_2018,2018
0.0,0.0,PrgP,standard_stats_2018,2018
0.0,0.0,PrgR,standard_stats_2018,2018
0.0,0.0,Gls.1,standard_stats_2018,2018
0.0,0.0,Ast.1,standard_stats_2018,2018
0.0,0.0,G+A.1,standard_stats_2018,2018
0.0,0.0,G-PK.1,standard_stats_2018,2018
0.0,0.0,G+A-PK,standard_stats_2018,2018
0.0,0.0,xG.1,standard_stats_2018,2018
0.005,0.007071067811865475,xAG.1,standard_stats_2018,2018
0.005,0.007071067811865475,xG+xAG,standard_stats_2018,2018
0.0,0.0,npxG.1,standard_stats_2018,2018
0.005,0.007071067811865475,npxG+xAG.1,standard_stats_2018,2018
30.0,4.242640687119285,Age,goalkeeping_2018,2018
17.0,19.79898987322333,MP,goalkeeping_2018,2018
17.0,19.79898987322333,Starts,goalkeeping_2018,2018
1530.0,1781.9090885900998,Min,goalkeeping_2018,2018
17.0,19.79898987322333,90s,goalkeeping_2018,2018
16.5,19.091883092036785,GA,goalkeeping_2018,2018
0.985,0.021213203435596444,GA90,goalkeeping_2018,2018
64.0,69.29646455628166,SoTA,goalkeeping_2018,2018
47.5,50.204581464244875,Saves,goalkeeping_2018,2018
77.6,3.394112549695426,Save%,goalkeeping_2018,2018
11.0,14.142135623730951,W,goalkeeping_2018,2018
2.5,2.1213203435596424,D,goalkeeping_2018,2018
3.5,3.5355339059327378,L,goalkeeping_2018,2018
7.5,9.192388155425117,CS,goalkeeping_2018,2018
39.25,8.414570696119918,CS%,goalkeeping_2018,2018
2.0,1.4142135623730951,PKatt,goalkeeping_2018,2018
1.0,1.4142135623730951,PKA,goalkeeping_2018,2018
0.5,0.7071067811865476,PKsv,goalkeeping_2018,2018
0.5,0.7071067811865476,PKm,goalkeeping_2018,2018
33.3,,Save%.1,goalkeeping_2018,2018
30.0,4.242640687119285,Age,advanced_goalkeeping_2018,2018
17.0,19.79898987322333,90s,advanced_goalkeeping_2018,2018
16.5,19.091883092036785,GA,advanced_goalkeeping_2018,2018
1.0,1.4142135623730951,PKA,advanced_goalkeeping_2018,2018
0.5,0.7071067811865476,FK,advanced_goalkeeping_2018,2018
3.0,4.242640687119285,CK,advanced_goalkeeping_2018,2018
0.5,0.7071067811865476,OG,advanced_goalkeeping_2018,2018
19.0,20.930360723121805,PSxG,advanced_goalkeeping_2018,2018
0.28,0.0,PSxG/SoT,advanced_goalkeeping_2018,2018
3.0,2.545584412271571,PSxG+/-,advanced_goalkeeping_2018,2018
0.27,0.16970562748477142,/90,advanced_goalkeeping_2018,2018
86.0,110.30865786510141,Cmp,advanced_goalkeeping_2018,2018
269.0,332.34018715767735,Att,advanced_goalkeeping_2018,2018
28.0,6.363961030678928,Cmp%,advanced_goalkeeping_2018,2018
340.0,400.2224381515859,Att (GK),advanced_goalkeeping_2018,2018
80.5,78.48885271170677,Thr,advanced_goalkeeping_2018,2018
44.55,10.960155108391486,Launch%,advanced_goalkeeping_2018,2018
37.0,3.959797974644662,AvgLen,advanced_goalkeeping_2018,2018
125.0,148.49242404917499,Att.1,advanced_goalkeeping_2018,2018
71.2,8.768124086713193,Launch%.1,advanced_goalkeeping_2018,2018
